지역,지점수,비율
경기도,145,35.63%
서울특별시,69,16.95%
인천광역시,37,9.09%
전라북도,32,7.86%
충청남도,20,4.91%
전라남도,19,4.67%
경상남도,18,4.42%
충청북도,18,4.42%
강원도,12,2.95%
부산광역시,11,2.70%
광주광역시,10,2.46%
울산광역시,7,1.72%
대전광역시,4,0.98%
경상북도,3,0.74%
대구광역시,1,0.25%
세종특별자치시,1,0.25%
