지역,지점수,비율
충청남도,감탄-당진점,충남 당진군 당진읍 수청동 982 원당근린상가 107호
서울특별시,감탄-자양점,서울 광진구 자양동 580-9
인천광역시,감탄-불로2호점,인천 서구 불로동 312-2외 2필지 퀸스타운 신명아파트상가 104호
경기도,감탄-덕소2호점,경기 남양주시 와부읍 덕소리 145-4 코오롱상가 104호
인천광역시,감탄-경인여대점,인천 계양구 계산동 931-27
경기도,감탄-범계점,경기 안양시 동안구 비산동 1101-2 제104호
충청남도,감탄-명암점,충남 아산시 탕정면 명암5리 809삼성트라팰리스 상가 1층 22-1호
경기도,감탄-교하점,경기 파주시 교하읍 동패리 1701 두손비채1 1층 135호
경기도,감탄-원곡점,경기 안산시 원곡동 828-6 벽산상가 111호
서울특별시,감탄-잠실나루역점,서울 송파구 신천동 17-4 파크리오 A상가 148호
서울특별시,감탄-마들역점,서울 노원구 상계동 649-1 1층 4호
경기도,감탄-중앙점,경기 용인시 처인구 김량장동 130-4
강원도,감탄-석사점,강원도 춘천시 석사동 880-5 제1층 105호
경기도,감탄-미금역점,경기 성남시 분당구 구미동 25-2 엘레강스빌딩 1동 110호
충청남도,감탄-쌍용월봉점,충남 천안시 쌍용동 1558번지 1층 1호
서울특별시,감탄-수락산역점,서울 노원구 상계동 1262번지 하이베리스 123호
경기도,감탄-송우점,경기 포천시 소흘읍 송우리 729-1 희성리치 프라자 1층 102호
인천광역시,감탄-청천점,인천 부평구 청천동 190-1
충청남도,감탄-신부2호점,충남 천안시 신부동 85번지 경남아파트 상가 102동 101호
전라북도,감탄-아중점,전북 전주시 덕진구 인후1가 890-3 제일아파트상가 108동 107호
충청북도,감탄-오창과학단지점,충북 청원군 오창읍 각리 637-6 중앙하이츠 상가 107호
경기도,감탄-호원점,경기 의정부시 호원동 326-6 화성프라자 105호
인천광역시,감탄-만수시장점,인천 남동구 만수동 72-17번지
인천광역시,감탄-갈산점,인천 부평구 갈산동 364-1
경기도,감탄-탑동점,경기 수원시 권선구 탑동 789-1 강서빌딩 B101
경기도,감탄-장기점,경기 김포시 장기동 1622 동서메디칼 빌딩101
서울특별시,감탄-방이점,서울 송파구 방이동 111
인천광역시,감탄-동암점,인천 부평구 십정동 408-10호 1층
경기도,감탄-성사점,경기 고양시 덕양구 성사동 720-2 서강프라자 1층 107호
경기도,감탄-벽적골점,경기 수원시 영통구 영통동 969-1 삼성태영상가 101호
경기도,감탄-중동역점,경기 부천시 원미구 중동 1289번지 팰리스카운티 아이파크상가 1층 105호
경기도,감탄-양수점,경기 양평군 양서면 양수리 649-5 태양빌딩 102호
경기도,감탄-향남점,경기 화성시 향남읍 행정리 433-6 103호
서울특별시,감탄-수유역점,서울 강북구 수유동 191-45
충청남도,감탄-쌍용3호점,충남 천안시 서북구 쌍용동 1949번지 110-1호
서울특별시,감탄-홍은점,서울 서대문구 홍은동 356-39
경기도,감탄-지행점,경기 동두천시 지행동 693-2 생연프라자 1층 111호
전라북도,감탄-평화점,전북 전주시 완산구 평화동2가 306-4번지 102호
서울특별시,감탄-송파2호점,서울 송파구 송파동 13-18 1층
경기도,감탄-한세대점,경기 군포시 당정동 971-8
인천광역시,감탄-불로점,인천 서구 불로동 불로지구 32블록 3롯트 세인빌딩 1층
서울특별시,감탄-가양2호점,서울 강서구 가양동 1460 한강아파트 제상가동 104호
경기도,감탄-우만점,경기 수원시 팔달구 우만동 553-15
서울특별시,감탄-개롱역점,서울 송파구 가락동 164-19
서울특별시,감탄-돈암점(우수가맹점),"서울 성북구 돈암동 624 현대상가 지층 14,22,34 호"
경기도,감탄-내손점,경기 의왕시 내손동 748-2 계원프라자 102호
서울특별시,감탄-목동역점,서울 양천구 신정 4동 1007-11호 이스타팰리스1층 108호 
서울특별시,감탄-등촌2호점,서울 강서구 등촌동 513-10 103호
경기도,감탄-봉담점,경기 화성시 봉담읍 동화리 599-1 상도프라자 제1층 제102호
인천광역시,감탄-삼산2호점,인천 부평구 삼산동 389-2 로얄프라자 107호
충청남도,감탄-백석점,충남 천안시 서북구 백석동 879 번지 103호
서울특별시,감탄-마천역점,서울 송파구 마천동 301-57 1층상가
충청남도,감탄-엄사점,충남 계룡시 엄사면 엄사리 282 성원아파트 상가A동 113호
서울특별시,감탄-염리점,서울 마포구 염리동 81-13
경기도,감탄-여주점,경기도 여주시 여흥로 111
경기도,감탄-철산2호점,경기 광명시 철산동 245-1 효도프라자 1층 12호
충청북도,감탄-복대점,충북 청주시 흥덕구 복대동 2574
서울특별시,감탄-종암점,서울 성북구 종암동 3-544
경기도,감탄-송죽점,경기 수원시 장안구 송죽동 398-4
서울특별시,감탄-거여점,서울 송파구 거여동 31-16
경기도,감탄-영통3호점,경기 수원시 영통구 영통동 957-6 삼익벽산 101호
서울특별시,감탄-오류점,서울 구로구 오류동 156 세명프라자 102호
경기도,감탄-동백호수마을점,경기 용인시 기흥구 동백동 605-5
경기도,감탄-소사본점,경기 부천시 소사구 소사본동 400-3 동우프라자 108호
충청북도,감탄-산남점,충북 청주시 산남동 772
전라북도,감탄-지곡점,전북 군산시 지곡동 493-6번지 102호
경기도,감탄-보라점,경기 용인시 기흥구 보라동 578-1
경기도,감탄-서천점,경기 용인시 기흥구 서천동 366번지 4필지 1층 106호
인천광역시,감탄-간석역점,인천 남구 주안동 1614번지 더월드스테이트 상가 107호
경기도,감탄-하안점,경기 광명시 하안동 53 현대빌딩 106호
서울특별시,감탄-청담점,서울 강남구 청담동 124-17
경기도,감탄-영통2호점,경기 수원시 영통구 영통동 1054-3 신명한국아파트상가 123호
경기도,감탄-원동점,경기 오산시 원동 806-5 로얄플라자 1층 120호
인천광역시,감탄-효성점,인천 계양구 효성동 51-5
경기도,감탄-중산점,경기 고양시 일산동구 중산동 1569-5 중앙프라자 101호
서울특별시,감탄-용답점,서울 성동구 용답동 57-13
경기도,감탄-신곡점,경기 의정부시 신곡동 719-4 우신프라자
충청남도,감탄-풍기점,충남 아산시 풍기동 440번지 동일 하이빌 단지내상가 109-2
경기도,감탄-금촌점,경기 파주시 금촌동 989-5 굿닥터스
경기도,감탄-창전점,경기 이천시 창전동 160-25
경기도,감탄-구갈점,경기 용인시 기흥구 구갈동 353 낙원상가 1층 103호
인천광역시,감탄-계산2호점,인천 계양구 계산동 66 현대상가 109호
인천광역시,감탄-산곡점,인천 부평구 산곡동 281-5
경기도,감탄-발안점,경기 화성시 향남읍 발안리 295 주공그린빌라 상가 105호
충청남도,감탄-공수점,충남 아산시 배방읍 공수리261-2 배방프라자 101호
경기도,감탄-능동2호점,경기 화성시 능동 1113-1번지 제이스프라자 101호
인천광역시,감탄-계산점,인천 계양구 계산동 1086-2 1층 108호
경기도,감탄-범박점,경기 부천시 소사구 범박동 155-2 리치모아상가 1층 136-1호
경기도,감탄-토평2호점,경기 구리시 토평동 998 새롬프라자 1층 101호
경기도,감탄-화정점,경기 고양시 덕양구 화정동 1000-3 화정 네이버타운 105호
경상북도,감탄-두호점,경북 포항시 북구 두호동 1052-3번지 아이코아 107호(베스킨라빈스옆)
인천광역시,감탄-구월2호점,인천 남동구 구월동 1241-2 104호
경기도,감탄-풍동점,경기 고양시 일산동구 풍동 1274 그린메디피아 103호
